scenario,query,type,scale_factor,base_table,input_rows,result_rows,result_selectivity,selected_rows,predicate_selectivity,selectivity,status,notes
movie,Q1,filter,2000,Reviews,2000.0,1487.0,0.7435,1487.0,0.7435,0.7435,ok,computed at available sf=2000 (target 16000 not on disk); clearly positive reviews (NL: LIMIT 5)
movie,Q2,filter,2000,Reviews,2000.0,14.0,0.007,14.0,0.007,0.007,ok,computed at available sf=2000 (target 16000 not on disk); positive reviews for taken_3 (NL: LIMIT 5)
movie,Q3,aggregation,2000,Reviews,2000.0,1.0,0.0005,14.0,0.007,0.007,ok,computed at available sf=2000 (target 16000 not on disk); COUNT positive reviews for taken_3
movie,Q4,aggregation,2000,Reviews,2000.0,1.0,0.0005,120.0,0.06,0.06,ok,computed at available sf=2000 (target 16000 not on disk); positivity ratio over taken_3 reviews
movie,Q5,join,2000,Reviews,2000.0,32288.0,16.144,256.0,0.128,16.144,ok,computed at available sf=2000 (target 16000 not on disk); self-join: same-sentiment pairs (ant_man); result=pairs
movie,Q6,join,2000,Reviews,2000.0,32736.0,16.368,256.0,0.128,16.368,ok,"computed at available sf=2000 (target 16000 not on disk); self-join: opposite-sentiment pairs (ant_man), NL: LIMIT 10"
movie,Q7,join,2000,Reviews,2000.0,32736.0,16.368,256.0,0.128,16.368,ok,computed at available sf=2000 (target 16000 not on disk); self-join: all opposite-sentiment pairs (ant_man)
movie,Q8,aggregation,2000,Reviews,2000.0,2.0,0.001,120.0,0.06,0.06,ok,computed at available sf=2000 (target 16000 not on disk); GROUP BY sentiment for taken_3
movie,Q9,rank,2000,Reviews,2000.0,256.0,0.128,256.0,0.128,0.128,ok,computed at available sf=2000 (target 16000 not on disk); score each ant_man review (subset of Reviews)
movie,Q10,rank,2000,Movies,116.0,116.0,1.0,116.0,1.0,1.0,ok,computed at available sf=2000 (target 16000 not on disk); rank every movie (returns all rows)
ecomm,Q1,filter,4000,styles_details,,,,,,,data unavailable,python3 src/scenario/ecomm/preparation/generate_data.py --download-from-drive --scale-factor 4000
ecomm,Q2,filter,4000,styles_details,,,,,,,data unavailable,python3 src/scenario/ecomm/preparation/generate_data.py --download-from-drive --scale-factor 4000
ecomm,Q3,map,4000,styles_details,,,,,,,data unavailable,python3 src/scenario/ecomm/preparation/generate_data.py --download-from-drive --scale-factor 4000
ecomm,Q4,map,4000,styles_details,,,,,,,data unavailable,python3 src/scenario/ecomm/preparation/generate_data.py --download-from-drive --scale-factor 4000
ecomm,Q5,classification,4000,styles_details,,,,,,,data unavailable,python3 src/scenario/ecomm/preparation/generate_data.py --download-from-drive --scale-factor 4000
ecomm,Q6,classification,4000,styles_details,,,,,,,data unavailable,python3 src/scenario/ecomm/preparation/generate_data.py --download-from-drive --scale-factor 4000
ecomm,Q7,join,4000,styles_details,,,,,,,data unavailable,python3 src/scenario/ecomm/preparation/generate_data.py --download-from-drive --scale-factor 4000
ecomm,Q8,join,4000,styles_details,,,,,,,data unavailable,python3 src/scenario/ecomm/preparation/generate_data.py --download-from-drive --scale-factor 4000
ecomm,Q9,join,4000,styles_details,,,,,,,data unavailable,python3 src/scenario/ecomm/preparation/generate_data.py --download-from-drive --scale-factor 4000
ecomm,Q10,join,4000,styles_details,,,,,,,data unavailable,python3 src/scenario/ecomm/preparation/generate_data.py --download-from-drive --scale-factor 4000
ecomm,Q11,join,4000,styles_details,,,,,,,data unavailable,python3 src/scenario/ecomm/preparation/generate_data.py --download-from-drive --scale-factor 4000
ecomm,Q12,classification,4000,styles_details,,,,,,,data unavailable,python3 src/scenario/ecomm/preparation/generate_data.py --download-from-drive --scale-factor 4000
